minutesAgo,unifiedScreenName,screenPageViews,activeUsers,eventCount
17,(other),14,4,18
03,(other),9,1,12
05,(other),8,1,9
08,(other),8,2,15
25,(other),8,3,14
20,Offer,6,5,16
23,(other),6,2,7
20,,5,5,12
01,(other),4,2,7
03,Offer,4,2,11
09,(other),4,2,6
11,(other),4,2,10
12,(other),4,1,5
23,Offer,4,3,14
25,,4,2,10
27,(other),4,1,6
05,Offer,3,1,3
06,Offer,3,2,8
25,Offer,3,4,8
06,(other),2,1,3
08,,2,1,4
09,BalanceStatement,2,2,2
09,Offer,2,2,9
10,,2,2,4
10,Offer,2,2,4
11,Offer,2,2,7
12,Offer,2,1,4
17,Offer,2,2,5
20,(other),2,1,3
23,,2,2,5
23,BalanceStatement,2,1,2
01,BalanceStatement,1,1,2
03,,1,1,2
03,Search,1,1,1
05,,1,1,2
06,,1,1,2
06,BalanceStatement,1,1,1
06,Notification,1,1,1
07,,1,1,2
07,Offer,1,1,3
08,BalanceStatement,1,1,1
08,Offer,1,1,3
08,PrizeCampaign,1,1,2
10,(other),1,1,2
10,Notification,1,1,1
11,,1,1,2
11,BalanceStatement,1,1,1
17,BalanceStatement,1,1,1
17,Programs,1,1,1
17,TermsComponent,1,2,4
20,BalanceStatement,1,1,1
20,OfferDetail,1,1,2
23,BarCodeCPF,1,1,1
24,,1,1,4
25,BalanceStatement,1,2,2
25,OfferDetail,1,1,2
27,Offer,1,1,3
28,,1,1,4
29,,1,1,3
29,BalanceStatement,1,1,1
29,Offer,1,1,3
01,,0,0,1
01,Offer,0,1,1
11,ForgotPasswordStepTwo,0,1,1
14,Offer,0,1,1
22,,0,0,1
